channel_type,all_referrers_grouped,n,total,proportion,std_err,ci_lwr,ci_upr,percentage,on_off_platform,channel_type_referrer,order_var
other,alternative social,4007.3319928730634,1103901.9927166146,0.0036301519693893655,5.724102906109839e-5,0.35179595524296126,0.37423443863491185,0.3630151969389366,off-platform,other.alternative social,31
mainstream,alternative social,285.21228040747764,43217.39196700751,0.0065994792241329805,3.894823189891588e-4,0.5836093878914229,0.7362864569351731,0.659947922413298,off-platform,mainstream.alternative social,21
extremist,webmail,99.45152965960469,6162.6300110783295,0.016137838792986824,0.0016051172726757467,1.299180893854236,1.9283868647431288,1.6137838792986823,off-platform,extremist.webmail,15
alternative,alternative social,888.1034375297893,35500.07859811057,0.025016942851981656,8.288978159519787e-4,2.3392303132715777,2.664158257124753,2.5016942851981656,off-platform,alternative.alternative social,1
alternative,webmail,1106.7873896047336,35500.07859811057,0.031177040539387434,9.224121135715216e-4,2.936911279678725,3.2984968281987617,3.1177040539387435,off-platform,alternative.webmail,5
other,search engine,41649.90699938091,1103901.9927166146,0.03772971448025365,1.8135312279450399e-4,3.7374262359576416,3.8085166600930878,3.772971448025365,off-platform,other.search engine,34
mainstream,search engine,1753.0545541792644,43217.39196700751,0.04056363594354698,9.489585608315691e-4,3.87036771643171,4.242359472277686,4.056363594354698,off-platform,mainstream.search engine,24
other,webmail,49334.666981718656,1103901.9927166146,0.044691165798432866,1.9666065446972714e-4,4.43057109156722,4.507662068119353,4.469116579843287,off-platform,other.webmail,35
extremist,search engine,282.2726743706073,6162.6300110783295,0.045803930118013945,0.0026630979246613233,4.058425818567775,5.102360205035014,4.5803930118013945,off-platform,extremist.search engine,14
alternative,search engine,1812.370060104146,35500.07859811057,0.05105256471743716,0.0011681946236176185,4.876290325514663,5.334222617972769,5.105256471743716,off-platform,alternative.search engine,4
mainstream,webmail,3155.300704913877,43217.39196700751,0.0730099749499613,0.0012514092264816214,7.055721286605731,7.546273703386527,7.300997494996129,off-platform,mainstream.webmail,25
other,main social,91141.11777780026,1103901.9927166146,0.08256268978508613,2.619478613058312e-4,8.20492719769267,8.307610759324556,8.256268978508613,off-platform,other.main social,32
extremist,alternative social,572.8170531684397,6162.6300110783295,0.09295009632879271,0.0036987711846132756,8.57005048069507,10.019968785063472,9.295009632879271,off-platform,extremist.alternative social,11
mainstream,main social,4085.0395248031787,43217.39196700751,0.09452304590526261,0.0014072727462597892,9.176479132259342,9.728130048793181,9.45230459052626,off-platform,mainstream.main social,22
extremist,main social,661.446672426297,6162.6300110783295,0.10733188123207771,0.003942995992181969,9.960360908740105,11.506015337675436,10.733188123207771,off-platform,extremist.main social,12
alternative,main social,6421.237365143852,35500.07859811057,0.18087952530577245,0.002042932127791545,17.6875378335301,18.488367227624387,18.087952530577244,off-platform,alternative.main social,2
extremist,other off-platform,1245.7981729637331,6162.6300110783295,0.20215365367127483,0.005115845032924512,19.21265974067428,21.21807099358069,20.215365367127482,off-platform,extremist.other off-platform,13
mainstream,other off-platform,8759.067957534575,43217.39196700751,0.20267460757977515,0.0019336959629119741,19.88845634924677,20.64646516670826,20.267460757977513,off-platform,mainstream.other off-platform,23
