channel_type,youtube_video_referrers_by_channel_type,n,total,proportion,std_err,ci_lwr,ci_upr,percentage,channel_type_referrer,order_var
alternative,alternative,4708,25726,0.18300551970768872,0.002410768582177561,17.82804132866207,18.773062612875673,18.300551970768872,alternative.alternative,1
alternative,extremist,184,25726,0.007152297286791572,5.253853563012158e-4,0.6122541988441189,0.8182052585141956,0.7152297286791572,alternative.extremist,2
alternative,mainstream,155,25726,0.00602503304050377,4.8248221277823736e-4,0.5079367903458426,0.6970698177549115,0.602503304050377,alternative.mainstream,3
alternative,other,4002,25726,0.1555624659877167,0.0022596961270202652,15.113346157875698,15.99914703966764,15.55624659877167,alternative.other,4
alternative,Non-video on-platform,4179,25726,0.16244266500816296,0.002299700043591,15.79352529227246,16.695007709360134,16.244266500816295,alternative.Non-video on-platform,5
alternative,Off-platform,12498,25726,0.4858120189691363,0.0031160825573667192,47.97044971566975,49.19195407815751,48.581201896913626,alternative.Off-platform,6
extremist,alternative,208,4121,0.050473186119873815,0.003410222140208346,4.378915072506546,5.715722151468217,5.047318611987381,extremist.alternative,7
extremist,extremist,573,4121,0.13904392137830623,0.005389707477142443,12.848009472310704,14.960774803350544,13.904392137830623,extremist.extremist,8
extremist,mainstream,18,4121,0.004367871875758311,0.001027266413903194,0.2354429704508051,0.6381314047008572,0.4367871875758311,extremist.mainstream,9
extremist,other,524,4121,0.1271536034942975,0.00518957676655291,11.69820330318538,13.73251739567412,12.71536034942975,extremist.other,10
extremist,Non-video on-platform,701,4121,0.1701043436059209,0.005852860057674753,15.863273789287838,18.15759493189634,17.01043436059209,extremist.Non-video on-platform,11
extremist,Off-platform,2097,4121,0.5088570735258432,0.007787544610938164,49.35934860884044,52.4120660963282,50.88570735258432,extremist.Off-platform,12
mainstream,alternative,241,47741,0.005048071887895101,3.2435310416080627e-4,0.44123398037399203,0.5683803972050281,0.50480718878951,mainstream.alternative,13
mainstream,extremist,34,47741,7.12176116964454e-4,1.2209369708836615e-4,0.047287247067125636,0.09514797632576516,0.0712176116964454,mainstream.extremist,14
mainstream,mainstream,12357,47741,0.25883412580381643,0.002004576889093437,25.490515510119327,26.27630965064396,25.88341258038164,mainstream.mainstream,15
mainstream,other,6520,47741,0.1365702436061247,0.001571613649635517,13.348988085283912,13.965060635941033,13.657024360612471,mainstream.other,16
mainstream,Non-video on-platform,9273,47741,0.1942355627238642,0.0018106006256282466,19.06867854976328,19.778433995009557,19.42355627238642,mainstream.Non-video on-platform,17
mainstream,Off-platform,19316,47741,0.40459981986133514,0.0022463197088898636,40.0197033231911,40.900260649075925,40.45998198613351,mainstream.Off-platform,18
other,alternative,3799,936104,0.004058309760453967,6.570940005244102e-5,0.39295193363511827,0.4187100184556751,0.40583097604539664,other.alternative,19
other,extremist,495,936104,5.287873996906327e-4,2.3760941407127545e-5,0.04822159545326627,0.057535884484860265,0.05287873996906327,other.extremist,20
other,mainstream,5985,936104,0.00639352037807765,8.23787473656986e-5,0.623205803324088,0.655498272291442,0.639352037807765,other.mainstream,21
other,other,336340,936104,0.359297684872621,4.958990834062748e-4,35.83257226691447,36.02696470760973,35.929768487262095,other.other,22
other,Non-video on-platform,178894,936104,0.19110483450556776,4.06368378764679e-4,19.030835248318898,19.190131652794655,19.110483450556774,other.Non-video on-platform,23
other,Off-platform,410591,936104,0.438616863083589,5.128735395213013e-4,43.761163094612726,43.96220952210507,43.8616863083589,other.Off-platform,24
