channel_type,youtube_video_referrers_by_channel_type,n,total,proportion,std_err,ci_lwr,ci_upr,percentage,channel_type_referrer,order_var
alternative,alternative,6965.629458252177,35500.07859811057,0.19621447989196591,0.002107759030170665,19.20832721928314,20.03456875911004,19.621447989196593,alternative.alternative,1
alternative,extremist,281.1994380905954,35500.07859811057,0.00792109339458087,4.704906721148573e-4,0.699893167723575,0.8843255111925991,0.792109339458087,alternative.extremist,2
alternative,mainstream,181.60998671253776,35500.07859811057,0.0051157629471334076,3.786402896693425e-4,0.4373627979381496,0.5857897914885319,0.5115762947133408,alternative.mainstream,3
alternative,other,4114.181929380295,35500.07859811057,0.11589219212599897,0.001698889157186828,11.256236937791279,11.922201487408515,11.589219212599897,alternative.other,4
alternative,Non-video on-platform,5363.693290469454,35500.07859811057,0.15108961732707057,0.0019007875379608336,14.736407375266733,15.481516090147382,15.108961732707057,alternative.Non-video on-platform,5
alternative,Off-platform,18593.764495205513,35500.07859811057,0.5237668543132502,0.002650721848962208,51.85714394892843,52.89622691372161,52.37668543132502,alternative.Off-platform,6
extremist,alternative,234.45442706770308,6162.6300110783295,0.03804454050401097,0.002436916262469347,3.326818462957105,4.282089637845089,3.804454050401097,extremist.alternative,7
extremist,extremist,1314.8753103256417,6162.6300110783295,0.2133626889756386,0.0052187135744478355,20.313401036972085,22.359136758155636,21.33626889756386,extremist.extremist,8
extremist,mainstream,14.446633921074186,6162.6300110783295,0.002344231909931963,6.160381362621487e-4,0.11367971628581518,0.3551666657005775,0.2344231909931963,extremist.mainstream,9
extremist,other,616.3457181297046,6162.6300110783295,0.10001342235729273,0.003821766183192241,9.252276063823594,10.750408407634952,10.001342235729274,extremist.other,10
extremist,Non-video on-platform,1120.7218190455244,6162.6300110783295,0.18185771610997978,0.00491357102877554,17.222711689357972,19.148831532637985,18.18577161099798,extremist.Non-video on-platform,11
extremist,Off-platform,2861.786102588682,6162.6300110783295,0.46437740014314605,0.006353045082643133,45.19254317811655,47.68293685051266,46.437740014314606,extremist.Off-platform,12
mainstream,alternative,264.43814233559584,43217.39196700751,0.006118789919981056,3.75120444028467e-4,0.5383553849685261,0.6854025990276852,0.6118789919981056,mainstream.alternative,13
mainstream,extremist,36.23229056282765,43217.39196700751,8.383729076129272e-4,1.3922179007118407e-4,0.05654981990734064,0.1111247616152448,0.08383729076129272,mainstream.extremist,14
mainstream,mainstream,11077.96205223384,43217.39196700751,0.25633110995431746,0.0021002025842026344,25.221471288928033,26.04475070193546,25.633110995431746,mainstream.mainstream,15
mainstream,other,5529.133577602124,43217.39196700751,0.1279376965140124,0.0016067331084571937,12.47884996214363,13.108689340658849,12.79376965140124,mainstream.other,16
mainstream,Non-video on-platform,8271.950882434752,43217.39196700751,0.19140328710139712,0.0018923933106519682,18.769419621251927,19.511237799027498,19.140328710139713,mainstream.Non-video on-platform,17
mainstream,Off-platform,18037.67502183837,43217.39196700751,0.417370743602679,0.002372072006829006,41.27214824692941,42.20200047360639,41.7370743602679,mainstream.Off-platform,18
other,alternative,3951.068043242878,1103901.9927166146,0.003579183722206729,5.683922308366682e-5,0.3467778844962742,0.3690588599450716,0.3579183722206729,other.alternative,19
other,extremist,621.1784490193005,1103901.9927166146,5.627115931647428e-4,2.2571241475975718e-5,0.05184719598718304,0.06069512264576553,0.056271159316474285,other.extremist,20
other,mainstream,5043.896974448963,1103901.9927166146,0.004569152884701599,6.418863402212173e-5,0.44433431620182406,0.46949626073849576,0.45691528847015994,other.mainstream,21
other,other,409978.7910578728,1103901.9927166146,0.37139057068730147,4.5987587117188e-4,37.048921397980465,37.229192739479835,37.139057068730146,other.other,22
other,Non-video on-platform,230208.88348831204,1103901.9927166146,0.20854105256372113,3.8667377516729247e-4,20.778317196439325,20.929893316304902,20.85410525637211,other.Non-video on-platform,23
other,Off-platform,454098.17470371857,1103901.9927166146,0.4113573285489043,4.683496839770121e-4,41.04393631683093,41.227529392949926,41.13573285489043,other.Off-platform,24
