variable	alternative	extremist	mainstream	other
total visits	28059	4455	51007	1014328
total recs shown	114805	17360	481976	7688996
total recs followed	625	169	5679	82951
rec_n_video_alternative_all	40701	3086	7145	63873
rec_n_video_extremist_all	3273	6572	580	6935
rec_n_video_mainstream_all	15101	2312	193588	270975
rec_n_video_other_all	58468	13812	209067	7407649
rec_match_alternative_match	330	17	26	252
rec_match_extremist_match	20	71	5	73
rec_match_mainstream_match	153	21	3620	1885
rec_match_other_match	219	35	1491	81206
